subject,condition,category,target,choice1,choice2,response1,response2
0,none,politicians,Richard Nixon,Abraham Lincoln,Barack Obama,abraham lincoln,barack obama
0,none,politicians,Richard Nixon,Abraham Lincoln,Bernie Sanders,bernie sanders,abraham lincoln
0,none,politicians,Richard Nixon,Abraham Lincoln,Donald Trump,donald trump,abraham lincoln
0,none,politicians,Richard Nixon,Abraham Lincoln,Elizabeth Warren,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Abraham Lincoln,George W. Bush,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Abraham Lincoln,Hillary Clinton,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Abraham Lincoln,Joe Biden,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Abraham Lincoln,Ronald Reagan,abraham lincoln,ronald reagan
0,none,politicians,Richard Nixon,Barack Obama,Abraham Lincoln,barack obama,abraham lincoln
0,none,politicians,Richard Nixon,Barack Obama,Bernie Sanders,barack obama,barack obama
0,none,politicians,Richard Nixon,Barack Obama,Donald Trump,donald trump,donald trump
0,none,politicians,Richard Nixon,Barack Obama,Elizabeth Warren,barack obama,barack obama
0,none,politicians,Richard Nixon,Barack Obama,George W. Bush,barack obama,barack obama
0,none,politicians,Richard Nixon,Barack Obama,Hillary Clinton,barack obama,barack obama
0,none,politicians,Richard Nixon,Barack Obama,Joe Biden,barack obama,joe biden
0,none,politicians,Richard Nixon,Barack Obama,Ronald Reagan,barack obama,ronald reagan
0,none,politicians,Richard Nixon,Bernie Sanders,Abraham Lincoln,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Bernie Sanders,Barack Obama,barack obama,barack obama
0,none,politicians,Richard Nixon,Bernie Sanders,Donald Trump,donald trump,donald trump
0,none,politicians,Richard Nixon,Bernie Sanders,Elizabeth Warren,bernie sanders,bernie sanders
0,none,politicians,Richard Nixon,Bernie Sanders,George W. Bush,bernie sanders,bernie sanders
0,none,politicians,Richard Nixon,Bernie Sanders,Hillary Clinton,hillary clinton,hillary clinton
0,none,politicians,Richard Nixon,Bernie Sanders,Joe Biden,joe biden,joe biden
0,none,politicians,Richard Nixon,Bernie Sanders,Ronald Reagan,ronald reagan,bernie sanders
0,none,politicians,Richard Nixon,Donald Trump,Abraham Lincoln,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Donald Trump,Barack Obama,donald trump,barack obama
0,none,politicians,Richard Nixon,Donald Trump,Bernie Sanders,donald trump,donald trump
0,none,politicians,Richard Nixon,Donald Trump,Elizabeth Warren,donald trump,donald trump
0,none,politicians,Richard Nixon,Donald Trump,George W. Bush,donald trump,donald trump
0,none,politicians,Richard Nixon,Donald Trump,Hillary Clinton,donald trump,donald trump
0,none,politicians,Richard Nixon,Donald Trump,Joe Biden,donald trump,donald trump
0,none,politicians,Richard Nixon,Donald Trump,Ronald Reagan,donald trump,donald trump
0,none,politicians,Richard Nixon,Elizabeth Warren,Abraham Lincoln,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Elizabeth Warren,Barack Obama,barack obama,barack obama
0,none,politicians,Richard Nixon,Elizabeth Warren,Bernie Sanders,bernie sanders,elizabeth warren
0,none,politicians,Richard Nixon,Elizabeth Warren,Donald Trump,donald trump,donald trump
0,none,politicians,Richard Nixon,Elizabeth Warren,George W. Bush,george w. bush,george w. bush
0,none,politicians,Richard Nixon,Elizabeth Warren,Hillary Clinton,hillary clinton,hillary clinton
0,none,politicians,Richard Nixon,Elizabeth Warren,Joe Biden,joe biden,joe biden
0,none,politicians,Richard Nixon,Elizabeth Warren,Ronald Reagan,ronald reagan,elizabeth warren
0,none,politicians,Richard Nixon,George W. Bush,Abraham Lincoln,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,George W. Bush,Barack Obama,barack obama,barack obama
0,none,politicians,Richard Nixon,George W. Bush,Bernie Sanders,bernie sanders,george w. bush
0,none,politicians,Richard Nixon,George W. Bush,Donald Trump,donald trump,donald trump
0,none,politicians,Richard Nixon,George W. Bush,Elizabeth Warren,elizabeth warren,george w. bush
0,none,politicians,Richard Nixon,George W. Bush,Hillary Clinton,george w. bush,hillary clinton
0,none,politicians,Richard Nixon,George W. Bush,Joe Biden,joe biden,joe biden
0,none,politicians,Richard Nixon,George W. Bush,Ronald Reagan,george w. bush,george w. bush
0,none,politicians,Richard Nixon,Hillary Clinton,Abraham Lincoln,abraham lincoln,abraham lincoln
0,none,politicians,Richard Nixon,Hillary Clinton,Barack Obama,barack obama,barack obama
0,none,politicians,Richard Nixon,Hillary Clinton,Bernie Sanders,bernie sanders,bernie sanders
0,none,politicians,Richard Nixon,Hillary Clinton,Donald Trump,donald trump,donald trump
0,none,politicians,Richard Nixon,Hillary Clinton,Elizabeth Warren,hillary clinton,elizabeth warren
