"","Concept","ID","Question","ChoiceNumber"
"1","Abraham Lincoln","0","Barack Obama Donald Trump",0
"2","Abraham Lincoln","0","Barack Obama George W. Bush",0
"3","Abraham Lincoln","0","Barack Obama Hillary Clinton",0
"4","Abraham Lincoln","0","Barack Obama Joe Biden",0
"5","Abraham Lincoln","0","Barack Obama Richard Nixon",0
"6","Abraham Lincoln","0","Barack Obama Ronald Reagan",0
"7","Abraham Lincoln","0","Bernie Sanders Barack Obama",1
"8","Abraham Lincoln","0","Bernie Sanders Donald Trump",0
"9","Abraham Lincoln","0","Bernie Sanders Elizabeth Warren",0
"10","Abraham Lincoln","0","Bernie Sanders George W. Bush",0
"11","Abraham Lincoln","0","Bernie Sanders Hillary Clinton",0
"12","Abraham Lincoln","0","Bernie Sanders Joe Biden",0
"13","Abraham Lincoln","0","Bernie Sanders Richard Nixon",0
"14","Abraham Lincoln","0","Bernie Sanders Ronald Reagan",0
"15","Abraham Lincoln","0","Donald Trump Barack Obama",1
"16","Abraham Lincoln","0","Donald Trump Bernie Sanders",1
"17","Abraham Lincoln","0","Donald Trump Elizabeth Warren",1
"18","Abraham Lincoln","0","Donald Trump George W. Bush",0
"19","Abraham Lincoln","0","Donald Trump Hillary Clinton",0
"20","Abraham Lincoln","0","Donald Trump Joe Biden",1
"21","Abraham Lincoln","0","Donald Trump Richard Nixon",1
"22","Abraham Lincoln","0","Donald Trump Ronald Reagan",1
"23","Abraham Lincoln","0","Elizabeth Warren Barack Obama",1
"24","Abraham Lincoln","0","Elizabeth Warren Bernie Sanders",1
"25","Abraham Lincoln","0","Elizabeth Warren Donald Trump",0
"26","Abraham Lincoln","0","Elizabeth Warren George W. Bush",0
"27","Abraham Lincoln","0","Elizabeth Warren Hillary Clinton",0
"28","Abraham Lincoln","0","Elizabeth Warren Joe Biden",0
"29","Abraham Lincoln","0","Elizabeth Warren Richard Nixon",0
"30","Abraham Lincoln","0","Elizabeth Warren Ronald Reagan",1
"31","Abraham Lincoln","0","George W. Bush Barack Obama",1
"32","Abraham Lincoln","0","George W. Bush Bernie Sanders",1
"33","Abraham Lincoln","0","George W. Bush Donald Trump",1
"34","Abraham Lincoln","0","George W. Bush Elizabeth Warren",1
"35","Abraham Lincoln","0","George W. Bush Hillary Clinton",1
"36","Abraham Lincoln","0","George W. Bush Joe Biden",1
"37","Abraham Lincoln","0","George W. Bush Richard Nixon",0
"38","Abraham Lincoln","0","George W. Bush Ronald Reagan",1
"39","Abraham Lincoln","0","Hillary Clinton Barack Obama",1
"40","Abraham Lincoln","0","Hillary Clinton Bernie Sanders",0
"41","Abraham Lincoln","0","Hillary Clinton Donald Trump",0
"42","Abraham Lincoln","0","Hillary Clinton Elizabeth Warren",0
"43","Abraham Lincoln","0","Hillary Clinton George W. Bush",0
"44","Abraham Lincoln","0","Hillary Clinton Joe Biden",1
"45","Abraham Lincoln","0","Hillary Clinton Richard Nixon",0
"46","Abraham Lincoln","0","Hillary Clinton Ronald Reagan",1
"47","Abraham Lincoln","0","Joe Biden Barack Obama",1
"48","Abraham Lincoln","0","Joe Biden Bernie Sanders",0
"49","Abraham Lincoln","0","Joe Biden Donald Trump",0
"50","Abraham Lincoln","0","Joe Biden Elizabeth Warren",0
"51","Abraham Lincoln","0","Joe Biden George W. Bush",0
"52","Abraham Lincoln","0","Joe Biden Hillary Clinton",0
"53","Abraham Lincoln","0","Joe Biden Richard Nixon",0
"54","Abraham Lincoln","0","Joe Biden Ronald Reagan",0
"55","Abraham Lincoln","0","Richard Nixon Barack Obama",1
"56","Abraham Lincoln","0","Richard Nixon Bernie Sanders",1
"57","Abraham Lincoln","0","Richard Nixon Donald Trump",0
"58","Abraham Lincoln","0","Richard Nixon Elizabeth Warren",0
"59","Abraham Lincoln","0","Richard Nixon George W. Bush",0
"60","Abraham Lincoln","0","Richard Nixon Hillary Clinton",0
"61","Abraham Lincoln","0","Richard Nixon Joe Biden",1
"62","Abraham Lincoln","0","Richard Nixon Ronald Reagan",0
"63","Abraham Lincoln","0","Ronald Reagan Barack Obama",1
"64","Abraham Lincoln","0","Ronald Reagan Bernie Sanders",1
"65","Abraham Lincoln","0","Ronald Reagan Donald Trump",0
"66","Abraham Lincoln","0","Ronald Reagan Elizabeth Warren",1
"67","Abraham Lincoln","0","Ronald Reagan George W. Bush",0
"68","Abraham Lincoln","0","Ronald Reagan Hillary Clinton",0
"69","Abraham Lincoln","0","Ronald Reagan Joe Biden",0
"70","Abraham Lincoln","0","Ronald Reagan Richard Nixon",0
"71","Barack Obama","0","Abraham Lincoln Bernie Sanders",1
"72","Barack Obama","0","Abraham Lincoln Donald Trump",0
"73","Barack Obama","0","Abraham Lincoln Elizabeth Warren",0
"74","Barack Obama","0","Abraham Lincoln George W. Bush",0
"75","Barack Obama","0","Abraham Lincoln Hillary Clinton",0
"76","Barack Obama","0","Abraham Lincoln Joe Biden",1
"77","Barack Obama","0","Abraham Lincoln Richard Nixon",0
"78","Barack Obama","0","Abraham Lincoln Ronald Reagan",0
"79","Barack Obama","0","Bernie Sanders Abraham Lincoln",0
"80","Barack Obama","0","Bernie Sanders Donald Trump",0
"81","Barack Obama","0","Bernie Sanders Elizabeth Warren",0
"82","Barack Obama","0","Bernie Sanders George W. Bush",0
"83","Barack Obama","0","Bernie Sanders Hillary Clinton",0
"84","Barack Obama","0","Bernie Sanders Joe Biden",1
"85","Barack Obama","0","Bernie Sanders Richard Nixon",0
"86","Barack Obama","0","Bernie Sanders Ronald Reagan",0
"87","Barack Obama","0","Donald Trump Abraham Lincoln",1
"88","Barack Obama","0","Donald Trump Bernie Sanders",1
"89","Barack Obama","0","Donald Trump Elizabeth Warren",1
"90","Barack Obama","0","Donald Trump George W. Bush",0
"91","Barack Obama","0","Donald Trump Hillary Clinton",1
"92","Barack Obama","0","Donald Trump Joe Biden",1
"93","Barack Obama","0","Donald Trump Richard Nixon",1
"94","Barack Obama","0","Donald Trump Ronald Reagan",1
"95","Barack Obama","0","Elizabeth Warren Abraham Lincoln",1
"96","Barack Obama","0","Elizabeth Warren Bernie Sanders",1
"97","Barack Obama","0","Elizabeth Warren Donald Trump",0
"98","Barack Obama","0","Elizabeth Warren George W. Bush",0
"99","Barack Obama","0","Elizabeth Warren Hillary Clinton",0
"100","Barack Obama","0","Elizabeth Warren Joe Biden",1
"101","Barack Obama","0","Elizabeth Warren Richard Nixon",0
"102","Barack Obama","0","Elizabeth Warren Ronald Reagan",0
"103","Barack Obama","0","George W. Bush Abraham Lincoln",1
"104","Barack Obama","0","George W. Bush Bernie Sanders",1
"105","Barack Obama","0","George W. Bush Donald Trump",1
"106","Barack Obama","0","George W. Bush Elizabeth Warren",1
"107","Barack Obama","0","George W. Bush Hillary Clinton",1
"108","Barack Obama","0","George W. Bush Joe Biden",1
"109","Barack Obama","0","George W. Bush Richard Nixon",0
"110","Barack Obama","0","George W. Bush Ronald Reagan",0
"111","Barack Obama","0","Hillary Clinton Abraham Lincoln",1
"112","Barack Obama","0","Hillary Clinton Bernie Sanders",0
"113","Barack Obama","0","Hillary Clinton Donald Trump",0
"114","Barack Obama","0","Hillary Clinton Elizabeth Warren",0
"115","Barack Obama","0","Hillary Clinton George W. Bush",0
"116","Barack Obama","0","Hillary Clinton Joe Biden",1
"117","Barack Obama","0","Hillary Clinton Richard Nixon",0
"118","Barack Obama","0","Hillary Clinton Ronald Reagan",0
"119","Barack Obama","0","Joe Biden Abraham Lincoln",1
"120","Barack Obama","0","Joe Biden Bernie Sanders",0
"121","Barack Obama","0","Joe Biden Donald Trump",0
"122","Barack Obama","0","Joe Biden Elizabeth Warren",0
"123","Barack Obama","0","Joe Biden George W. Bush",0
"124","Barack Obama","0","Joe Biden Hillary Clinton",0
"125","Barack Obama","0","Joe Biden Richard Nixon",0
"126","Barack Obama","0","Joe Biden Ronald Reagan",0
"127","Barack Obama","0","Richard Nixon Abraham Lincoln",1
"128","Barack Obama","0","Richard Nixon Bernie Sanders",1
"129","Barack Obama","0","Richard Nixon Donald Trump",1
"130","Barack Obama","0","Richard Nixon Elizabeth Warren",1
"131","Barack Obama","0","Richard Nixon George W. Bush",0
"132","Barack Obama","0","Richard Nixon Hillary Clinton",1
"133","Barack Obama","0","Richard Nixon Joe Biden",1
"134","Barack Obama","0","Richard Nixon Ronald Reagan",0
"135","Barack Obama","0","Ronald Reagan Abraham Lincoln",1
"136","Barack Obama","0","Ronald Reagan Bernie Sanders",1
"137","Barack Obama","0","Ronald Reagan Donald Trump",1
"138","Barack Obama","0","Ronald Reagan Elizabeth Warren",1
"139","Barack Obama","0","Ronald Reagan George W. Bush",0
"140","Barack Obama","0","Ronald Reagan Hillary Clinton",1
"141","Barack Obama","0","Ronald Reagan Joe Biden",1
"142","Barack Obama","0","Ronald Reagan Richard Nixon",0
"143","Bernie Sanders","0","Abraham Lincoln Barack Obama",1
"144","Bernie Sanders","0","Abraham Lincoln Donald Trump",0
"145","Bernie Sanders","0","Abraham Lincoln Elizabeth Warren",1
"146","Bernie Sanders","0","Abraham Lincoln George W. Bush",0
"147","Bernie Sanders","0","Abraham Lincoln Hillary Clinton",0
"148","Bernie Sanders","0","Abraham Lincoln Joe Biden",0
"149","Bernie Sanders","0","Abraham Lincoln Richard Nixon",0
"150","Bernie Sanders","0","Abraham Lincoln Ronald Reagan",0
"151","Bernie Sanders","0","Barack Obama Abraham Lincoln",0
"152","Bernie Sanders","0","Barack Obama Donald Trump",0
"153","Bernie Sanders","0","Barack Obama Elizabeth Warren",1
"154","Bernie Sanders","0","Barack Obama George W. Bush",0
"155","Bernie Sanders","0","Barack Obama Hillary Clinton",0
"156","Bernie Sanders","0","Barack Obama Joe Biden",0
"157","Bernie Sanders","0","Barack Obama Richard Nixon",0
"158","Bernie Sanders","0","Barack Obama Ronald Reagan",0
"159","Bernie Sanders","0","Donald Trump Abraham Lincoln",1
"160","Bernie Sanders","0","Donald Trump Barack Obama",1
"161","Bernie Sanders","0","Donald Trump Elizabeth Warren",1
"162","Bernie Sanders","0","Donald Trump George W. Bush",0
"163","Bernie Sanders","0","Donald Trump Hillary Clinton",1
"164","Bernie Sanders","0","Donald Trump Joe Biden",1
"165","Bernie Sanders","0","Donald Trump Richard Nixon",0
"166","Bernie Sanders","0","Donald Trump Ronald Reagan",1
"167","Bernie Sanders","0","Elizabeth Warren Abraham Lincoln",0
"168","Bernie Sanders","0","Elizabeth Warren Barack Obama",0
"169","Bernie Sanders","0","Elizabeth Warren Donald Trump",0
"170","Bernie Sanders","0","Elizabeth Warren George W. Bush",0
"171","Bernie Sanders","0","Elizabeth Warren Hillary Clinton",0
"172","Bernie Sanders","0","Elizabeth Warren Joe Biden",0
"173","Bernie Sanders","0","Elizabeth Warren Richard Nixon",0
"174","Bernie Sanders","0","Elizabeth Warren Ronald Reagan",0
"175","Bernie Sanders","0","George W. Bush Abraham Lincoln",1
"176","Bernie Sanders","0","George W. Bush Barack Obama",1
"177","Bernie Sanders","0","George W. Bush Donald Trump",1
"178","Bernie Sanders","0","George W. Bush Elizabeth Warren",1
"179","Bernie Sanders","0","George W. Bush Hillary Clinton",1
"180","Bernie Sanders","0","George W. Bush Joe Biden",1
"181","Bernie Sanders","0","George W. Bush Richard Nixon",1
"182","Bernie Sanders","0","George W. Bush Ronald Reagan",1
"183","Bernie Sanders","0","Hillary Clinton Abraham Lincoln",1
"184","Bernie Sanders","0","Hillary Clinton Barack Obama",1
"185","Bernie Sanders","0","Hillary Clinton Donald Trump",0
"186","Bernie Sanders","0","Hillary Clinton Elizabeth Warren",1
"187","Bernie Sanders","0","Hillary Clinton George W. Bush",0
"188","Bernie Sanders","0","Hillary Clinton Joe Biden",1
"189","Bernie Sanders","0","Hillary Clinton Richard Nixon",0
"190","Bernie Sanders","0","Hillary Clinton Ronald Reagan",0
"191","Bernie Sanders","0","Joe Biden Abraham Lincoln",0
"192","Bernie Sanders","0","Joe Biden Barack Obama",1
"193","Bernie Sanders","0","Joe Biden Donald Trump",0
"194","Bernie Sanders","0","Joe Biden Elizabeth Warren",1
"195","Bernie Sanders","0","Joe Biden George W. Bush",0
"196","Bernie Sanders","0","Joe Biden Hillary Clinton",0
"197","Bernie Sanders","0","Joe Biden Richard Nixon",0
"198","Bernie Sanders","0","Joe Biden Ronald Reagan",0
"199","Bernie Sanders","0","Richard Nixon Abraham Lincoln",1
"200","Bernie Sanders","0","Richard Nixon Barack Obama",1
"201","Bernie Sanders","0","Richard Nixon Donald Trump",0
"202","Bernie Sanders","0","Richard Nixon Elizabeth Warren",1
"203","Bernie Sanders","0","Richard Nixon George W. Bush",0
"204","Bernie Sanders","0","Richard Nixon Hillary Clinton",1
"205","Bernie Sanders","0","Richard Nixon Joe Biden",1
"206","Bernie Sanders","0","Richard Nixon Ronald Reagan",0
"207","Bernie Sanders","0","Ronald Reagan Abraham Lincoln",1
"208","Bernie Sanders","0","Ronald Reagan Barack Obama",1
"209","Bernie Sanders","0","Ronald Reagan Donald Trump",0
"210","Bernie Sanders","0","Ronald Reagan Elizabeth Warren",1
"211","Bernie Sanders","0","Ronald Reagan George W. Bush",0
"212","Bernie Sanders","0","Ronald Reagan Hillary Clinton",1
"213","Bernie Sanders","0","Ronald Reagan Joe Biden",1
"214","Bernie Sanders","0","Ronald Reagan Richard Nixon",1
"215","Donald Trump","0","Abraham Lincoln Barack Obama",0
"216","Donald Trump","0","Abraham Lincoln Bernie Sanders",1
"217","Donald Trump","0","Abraham Lincoln Elizabeth Warren",0
"218","Donald Trump","0","Abraham Lincoln George W. Bush",1
"219","Donald Trump","0","Abraham Lincoln Hillary Clinton",0
"220","Donald Trump","0","Abraham Lincoln Joe Biden",0
"221","Donald Trump","0","Abraham Lincoln Richard Nixon",1
"222","Donald Trump","0","Abraham Lincoln Ronald Reagan",1
"223","Donald Trump","0","Barack Obama Abraham Lincoln",0
"224","Donald Trump","0","Barack Obama Bernie Sanders",0
"225","Donald Trump","0","Barack Obama Elizabeth Warren",0
"226","Donald Trump","0","Barack Obama George W. Bush",0
"227","Donald Trump","0","Barack Obama Hillary Clinton",0
"228","Donald Trump","0","Barack Obama Joe Biden",0
"229","Donald Trump","0","Barack Obama Richard Nixon",0
"230","Donald Trump","0","Barack Obama Ronald Reagan",1
"231","Donald Trump","0","Bernie Sanders Abraham Lincoln",1
"232","Donald Trump","0","Bernie Sanders Barack Obama",1
"233","Donald Trump","0","Bernie Sanders Elizabeth Warren",0
"234","Donald Trump","0","Bernie Sanders George W. Bush",1
"235","Donald Trump","0","Bernie Sanders Hillary Clinton",0
"236","Donald Trump","0","Bernie Sanders Joe Biden",1
"237","Donald Trump","0","Bernie Sanders Richard Nixon",1
"238","Donald Trump","0","Bernie Sanders Ronald Reagan",1
"239","Donald Trump","0","Elizabeth Warren Abraham Lincoln",1
"240","Donald Trump","0","Elizabeth Warren Barack Obama",1
"241","Donald Trump","0","Elizabeth Warren Bernie Sanders",1
"242","Donald Trump","0","Elizabeth Warren George W. Bush",1
"243","Donald Trump","0","Elizabeth Warren Hillary Clinton",1
"244","Donald Trump","0","Elizabeth Warren Joe Biden",1
"245","Donald Trump","0","Elizabeth Warren Richard Nixon",1
"246","Donald Trump","0","Elizabeth Warren Ronald Reagan",1
"247","Donald Trump","0","George W. Bush Abraham Lincoln",1
"248","Donald Trump","0","George W. Bush Barack Obama",0
"249","Donald Trump","0","George W. Bush Bernie Sanders",1
"250","Donald Trump","0","George W. Bush Elizabeth Warren",0
"251","Donald Trump","0","George W. Bush Hillary Clinton",0
"252","Donald Trump","0","George W. Bush Joe Biden",1
"253","Donald Trump","0","George W. Bush Richard Nixon",0
"254","Donald Trump","0","George W. Bush Ronald Reagan",0
"255","Donald Trump","0","Hillary Clinton Abraham Lincoln",1
"256","Donald Trump","0","Hillary Clinton Barack Obama",1
"257","Donald Trump","0","Hillary Clinton Bernie Sanders",1
"258","Donald Trump","0","Hillary Clinton Elizabeth Warren",0
"259","Donald Trump","0","Hillary Clinton George W. Bush",1
"260","Donald Trump","0","Hillary Clinton Joe Biden",1
"261","Donald Trump","0","Hillary Clinton Richard Nixon",1
"262","Donald Trump","0","Hillary Clinton Ronald Reagan",1
"263","Donald Trump","0","Joe Biden Abraham Lincoln",1
"264","Donald Trump","0","Joe Biden Barack Obama",0
"265","Donald Trump","0","Joe Biden Bernie Sanders",0
"266","Donald Trump","0","Joe Biden Elizabeth Warren",0
"267","Donald Trump","0","Joe Biden George W. Bush",1
"268","Donald Trump","0","Joe Biden Hillary Clinton",0
"269","Donald Trump","0","Joe Biden Richard Nixon",0
"270","Donald Trump","0","Joe Biden Ronald Reagan",0
"271","Donald Trump","0","Richard Nixon Abraham Lincoln",0
"272","Donald Trump","0","Richard Nixon Barack Obama",0
"273","Donald Trump","0","Richard Nixon Bernie Sanders",0
"274","Donald Trump","0","Richard Nixon Elizabeth Warren",0
"275","Donald Trump","0","Richard Nixon George W. Bush",0
"276","Donald Trump","0","Richard Nixon Hillary Clinton",0
"277","Donald Trump","0","Richard Nixon Joe Biden",0
"278","Donald Trump","0","Richard Nixon Ronald Reagan",0
"279","Donald Trump","0","Ronald Reagan Abraham Lincoln",0
"280","Donald Trump","0","Ronald Reagan Barack Obama",0
"281","Donald Trump","0","Ronald Reagan Bernie Sanders",0
"282","Donald Trump","0","Ronald Reagan Elizabeth Warren",1
"283","Donald Trump","0","Ronald Reagan George W. Bush",1
"284","Donald Trump","0","Ronald Reagan Hillary Clinton",0
"285","Donald Trump","0","Ronald Reagan Joe Biden",0
"286","Donald Trump","0","Ronald Reagan Richard Nixon",1
"287","Abraham Lincoln","1","Barack Obama Bernie Sanders",0
"288","Abraham Lincoln","1","Barack Obama Donald Trump",0
"289","Abraham Lincoln","1","Barack Obama Elizabeth Warren",0
"290","Abraham Lincoln","1","Barack Obama George W. Bush",0
"291","Abraham Lincoln","1","Barack Obama Hillary Clinton",0
"292","Abraham Lincoln","1","Barack Obama Joe Biden",0
"293","Abraham Lincoln","1","Barack Obama Richard Nixon",0
"294","Abraham Lincoln","1","Barack Obama Ronald Reagan",0
"295","Abraham Lincoln","1","Bernie Sanders Barack Obama",1
"296","Abraham Lincoln","1","Bernie Sanders Donald Trump",0
"297","Abraham Lincoln","1","Bernie Sanders Elizabeth Warren",0
"298","Abraham Lincoln","1","Bernie Sanders George W. Bush",0
"299","Abraham Lincoln","1","Bernie Sanders Hillary Clinton",0
"300","Abraham Lincoln","1","Bernie Sanders Joe Biden",0
"301","Abraham Lincoln","1","Bernie Sanders Richard Nixon",0
"302","Abraham Lincoln","1","Bernie Sanders Ronald Reagan",0
"303","Abraham Lincoln","1","Donald Trump Barack Obama",1
"304","Abraham Lincoln","1","Donald Trump Bernie Sanders",1
"305","Abraham Lincoln","1","Donald Trump Elizabeth Warren",1
"306","Abraham Lincoln","1","Donald Trump George W. Bush",0
"307","Abraham Lincoln","1","Donald Trump Hillary Clinton",0
"308","Abraham Lincoln","1","Donald Trump Joe Biden",1
"309","Abraham Lincoln","1","Donald Trump Richard Nixon",1
"310","Abraham Lincoln","1","Donald Trump Ronald Reagan",1
"311","Abraham Lincoln","1","Elizabeth Warren Barack Obama",1
"312","Abraham Lincoln","1","Elizabeth Warren Bernie Sanders",1
"313","Abraham Lincoln","1","Elizabeth Warren Donald Trump",0
"314","Abraham Lincoln","1","Elizabeth Warren George W. Bush",0
"315","Abraham Lincoln","1","Elizabeth Warren Hillary Clinton",0
"316","Abraham Lincoln","1","Elizabeth Warren Joe Biden",0
"317","Abraham Lincoln","1","Elizabeth Warren Richard Nixon",1
"318","Abraham Lincoln","1","Elizabeth Warren Ronald Reagan",0
"319","Abraham Lincoln","1","George W. Bush Barack Obama",1
"320","Abraham Lincoln","1","George W. Bush Bernie Sanders",1
